308,'BEACH BOYS','GOOD TIMIN*',0
309,'BEATLES','I WANT TO HOLD YOUR HAND',1
310,'BEATLES','SHE LOVES YOU',1
311,'BEATLES','PLEASE PLEASE ME',0
312,'BEATLES','I SAW HER STANDING THERE',0
313,'BEATLES','MY BONNIE',0
314,'BEATLES','TWIST AND SHOUT',0
315,'BEATLES','CAN*T BUY ME LOVE',1
316,'BEATLES','DO YOU WANT TO KNOW A SECRET',0
317,'BEATLES','THANK YOU GIRL',0
318,'BEATLES','LOVE ME DO',1
319,'BEATLES','P.S. I LOVE YOU',0
320,'BEATLES','A HARD DAY*S NIGHT',1
321,'BEATLES','AIN*T SHE SWEET',0
322,'BEATLES','AND I LOVE HER',0
323,'BEATLES','I*LL CRY INSTEAD',0
324,'BEATLES','MATCHBOX',0
325,'BEATLES','SLOW DOWN',0
326,'BEATLES','I FEEL FINE',1
327,'BEATLES','SHE*S A WOMAN',0
328,'BEATLES','EIGHT DAYS A WEEK',1
329,'BEATLES','I DON*T WANT TO SPOIL THE PARTY',0
330,'BEATLES','TICKET TO RIDE',1
331,'BEATLES','HELP',1
332,'BEATLES','YESTERDAY',1
333,'BEATLES','WE CAN WORK IT OUT',1
334,'BEATLES','DAY TRIPPER',0
335,'BEATLES','NOWHERE MAN',0
336,'BEATLES','PAPERBACK WRITER',1
337,'BEATLES','RAIN',0
338,'BEATLES','YELLOW SUBMARINE',0
339,'BEATLES','ELEANOR RIGBY',0
340,'BEATLES','PENNY LANE',1
341,'BEATLES','STRAWBERRY FIELDS FOREVER',0
342,'BEATLES','ALL YOU NEED IS LOVE',1
343,'BEATLES','BABY YOU*RE A RICH MAN',0
344,'BEATLES','HELLO GOODBYE',1
345,'BEATLES','LADY MADONNA',0
346,'BEATLES','HEY JUDE',1
347,'BEATLES','REVOLUTION',0
348,'BEATLES','GET BACK',1
349,'BEATLES','DON*T LET ME DOWN',0
350,'BEATLES','THE BALLAD OF JOHN AND YOKO',0
351,'BEATLES','SOMETHING',0
352,'BEATLES','COME TOGETHER',1
353,'BEATLES','LET IT BE',1
354,'BEATLES','THE LONG AND WINDING ROAD / FOR YOU BLUE',1
355,'BEATLES','GOT TO GET YOU INTO MY LIFE',0
356,'BEAU BRUMMELS','LAUGH; LAUGH',0
357,'BEAU BRUMMELS','JUST A LITTLE',0
358,'BEAU BRUMMELS','YOU TELL ME WHY',0
359,'BOB BECKHAM','JUST AS MUCH AS EVER',0
360,'BOB BECKHAM','CRAZY ARMS',0
361,'BEE GEES','NEW YORK MINING DISASTER 1941',0
362,'BEE GEES','TO LOVE SOMEBODY',0
363,'BEE GEES','HOLIDAY',0
364,'BEE GEES','(THE LIGHTS WENT OUT IN) MASSACHUSETTS',0
365,'BEE GEES','WORDS',0
366,'BEE GEES','I*VE GOTTA GET A MESSAGE TO YOU',0
367,'BEE GEES','I STARTED A JOKE',0
368,'BEE GEES','FIRST OF MAY',0
369,'BEE GEES','LONELY DAYS',0
370,'BEE GEES','HOW CAN YOU MEND A BROKEN HEART',1
371,'BEE GEES','MY WORLD',0
372,'BEE GEES','RUN TO ME',0
373,'BEE GEES','ALIVE',0
374,'BEE GEES','JIVE TALKIN*',1
375,'BEE GEES','NIGHTS ON BROADWAY',0
376,'BEE GEES','FANNY (BE TENDER WITH MY LOVE)',0
377,'BEE GEES','YOU SHOULD BE DANCING',1
378,'BEE GEES','LOVE SO RIGHT',0
379,'BEE GEES','BOOGIE CHILD',0
380,'BEE GEES','EDGE OF THE UNIVERSE',0
381,'BEE GEES','HOW DEEP IS YOUR LOVE',1
382,'BEE GEES','STAYIN* ALIVE',1
383,'BEE GEES','NIGHT FEVER',1
384,'BEE GEES','TOO MUCH HEAVEN',1
385,'BEE GEES','TRAGEDY',1
386,'BEE GEES','LOVE YOU INSIDE OUT',1
387,'BEGINNING OF THE END','FUNKY NASSAU',0
388,'HARRY BELAFONTE','JAMAICA FAREWELL',0
389,'HARRY BELAFONTE','MARY*S BOY CHILD',0
390,'HARRY BELAFONTE','BANANA BOAT (DAY-O)',0
391,'HARRY BELAFONTE','MAMA LOOK AT BUBU',0
392,'ARCHIE BELL AND THE DRELLS','TIGHTEN UP',1
393,'ARCHIE BELL AND THE DRELLS','I CAN*T STOP DANCING',0
394,'ARCHIE BELL AND THE DRELLS','THERE*S GONNA BE A SHOWDOWN',0
395,'BENNY BELL FEATURING PAUL WYNN','SHAVING CREAM',0
396,'MADELINE BELL','I*M GONNA MAKE YOU LOVE ME',0
397,'VINCENT BELL','AIRPORT LOVE THEME',0
398,'WILLIAM BELL','TRYING TO LOVE TWO',0
399,'BELL AND JAMES','LIVIN* IT UP',0
400,'BELL NOTES','I*VE HAD IT',0
401,'BELLAMY BROTHERS','LET YOU LOVE FLOW',1
402,'BELLAMY BROTHERS','IF I SAID YOU HAD A BEAUTIFUL BODY',0
403,'BELLS','STAY AWHILE',0
404,'TONY BELLUS','ROBBIN* THE CRADLE',0
405,'BELMONTS','TELL ME WHY',0
406,'BELMONTS','COME ON LITTLE ANGEL',0
407,'JESSE BELVIN','GUESS WHO',0
408,'PAT BENATAR','HEARTBREAKER',0
409,'BOYD BENNETT AND HIS ROCKETS','SEVENTEEN',0
410,'BOYD BENNETT AND HIS ROCKETS','MY BOY - FLAT TOP',0
411,'JOE BENNETT / SPARKLETONES','BLACK SLACKS',0
412,'TONY BENNETT','CAN YOU FIND IT IN YOUR HEART',0
413,'TONY BENNETT','FROM THE CANDY STORE ON THE CORNER',0
414,'TONY BENNETT','HAPPINESS STREET',0
415,'TONY BENNETT','IN THE MIDDLE OF AN ISLAND',0
416,'TONY BENNETT','FIREFLY',0
417,'TONY BENNETT','I LEFT MY HEART IN SAN FRANCISCO',0
418,'TONY BENNETT','I WANNA BE AROUND',0
419,'TONY BENNETT','THE GOOD LIFE',0
420,'TONY BENNETT','WHO CAN I TURN TO',0
421,'TONY BENNETT','IF I RULED THE WORLD',0
422,'GEORGE BENSON','THIS MASQUERADE',0
423,'GEORGE BENSON','THE GREATEST LOVE OF ALL',0
424,'GEORGE BENSON','ON BROADWAY',0
425,'GEORGE BENSON','LOVE BALLAD',0
426,'BROOK BENTON','IT*S JUST A MATTER OF TIME',0
427,'BROOK BENTON','ENDLESSLY',0
428,'BROOK BENTON','SO CLOSE',0
429,'BROOK BENTON','THANK YOU PRETTY BABY',0
430,'BROOK BENTON','SO MANY WAYS',0
431,'B. BENTON / D. WASHINGTON','BABY',0
432,'BROOK BENTON','THE TIES THAT BIND',0
433,'B. BENTON / D. WASHINGTON','A ROCKIN* GOOD WAY',0
434,'BROOK BENTON','KIDDIO',0
435,'BROOK BENTON','THE SAME ONE',0
436,'BROOK BENTON','FOOLS RUSH IN',0
437,'BROOK BENTON','THINK TWICE',0
438,'BROOK BENTON','FOR MY BABY',0
439,'BROOK BENTON','BOLL WEEVIL SONG',0
440,'BROOK BENTON','FRANKIE AND JOHNNY',0
441,'BROOK BENTON','REVENGE',0
442,'BROOK BENTON','SHADRACK',0
443,'BROOK BENTON','LIE TO ME',0
444,'BROOK BENTON','HOTEL HAPPINESS',0
445,'BROOK BENTON','I GOT WHAT I WANTED',0
446,'BROOK BENTON','MY TRUE CONFESSION',0
447,'BROOK BENTON','TWO TICKETS TO PARADISE',0
448,'BROOK BENTON','GOING GOING GONE',0
449,'BROOK BENTON','RAINY NIGHT IN GEORGIA',0
450,'ROD BERNARD','THIS SHOULD GO ON FOREVER',0
451,'ELMER BERNSTEIN','THEME FROM *THE MAN WITH THE GOLDEN ARM*',0
452,'CHUCK BERRY','MAYBELLENE',0
453,'CHUCK BERRY','ROLL OVER BEETHOVEN',0
454,'CHUCK BERRY','SCHOOL DAY',0
455,'CHUCK BERRY','ROCK AND ROLL MUSIC',0
456,'CHUCK BERRY','SWEET LITTLE SIXTEEN',0
457,'CHUCK BERRY','JOHNNY B. GOODE',0
458,'CHUCK BERRY','CAROL',0
459,'CHUCK BERRY','ALMOST GROWN',0
460,'CHUCK BERRY','BACK IN THE U.S.A',0
461,'CHUCK BERRY','NADINE',0
462,'CHUCK BERRY','NO PARTICULAR PLACE TO GO',0
463,'CHUCK BERRY','YOU NEVER CAN TELL',0
464,'CHUCK BERRY','MY DING-A-LING',1
465,'CHUCK BERRY','REELIN* AND ROCKIN*',0
466,'BIG BOPPER','CHANTILLY LACE',0
467,'BIG BOPPER','BIG BOPPER*S WEDDING',0
468,'BIG BROTHER / HOLDING COMPANY','PIECE OF MY HEART',0
469,'MR. ACKER BILK','STRANGER ON THE SHORE',1
470,'BILLY AND LILLIE','LA DEE DAH',0
471,'BILLY AND LILLIE','LUCKY LADYBUG',0
472,'BILLY JOE AND THE CHECKMATES','PERCOLATOR (TWIST)',0
473,'ELVIN BISHOP','FOOLED AROUND AND FELL IN LOVE',0
474,'STEPHEN BISHOP','SAVE IT FOR A RAINY DAY',0
475,'STEPHEN BISHOP','ON AND ON',0
476,'STEPHEN BISHOP','EVERYBODY NEEDS LOVE',0
477,'BILL BLACK*S COMBO','SMOKIE',0
478,'BILL BLACK*S COMBO','WHITE SILVER SANDS',0
479,'BILL BLACK*S COMBO','JOSEPHINE',0
480,'BILL BLACK*S COMBO','DON*T BE CRUEL',0
481,'BILL BLACK*S COMBO','BLUE TANGO',0
482,'BILL BLACK*S COMBO','HEARTS OF STONE',0
483,'BILL BLACK*S COMBO','OLE BUTTERMILK SKY',0
484,'BILL BLACK*S COMBO','TWIST-HER',0
485,'CILLA BLACK','YOU*RE MY WORLD',0
486,'JEANNE BLACK','HE*LL HAVE TO STAY',0
487,'BLACKBYRDS','WALKING IN RHYTHM',0
488,'BLACKBYRDS','HAPPY MUSIC',0
489,'BLACKFOOT','HIGHWAY SONG',0
490,'BLACKFOOT','TRAIN; TRAIN',0
491,'BLACK OAK ARKANSAS','JIM DANDY',0
492,'JACK BLANCHARD / MISTY MORGAN','TENNESSEE BIRDWALK',0
493,'BILLY BLAND','LET THE LITTLE GIRL DANCE',0
494,'BOBBY BLAND','TURN ON YOUR LOVE LIGHT',0
495,'BOBBY BLAND','CALL ON ME',0
496,'BOBBY BLAND','THAT*S THE WAY LOVE IS',0
